subject,targetphrase,initial_response,correct_words_initial,trial,target_number,rel_response,correct_words_rel,rep_acc,rep_acc_rel
LE01,balance clamp and bottle,balance clam in bottle,2,66,4,,,inaccurate,
LE01,rode the lamp for teasing,road the lamp for teasing,4,67,5,,,inaccurate,
LE01,unless escape can learn,unless escape can learn,4,68,4,,,accurate,
LE01,bush is chosen after,bush is chosen after,4,69,4,,,accurate,
LE01,cheap control in paper,cheap control in paper,4,70,4,,,accurate,
LE01,sinking rather tundra,sinking rather tundra,3,71,3,,,accurate,
LE01,done with finest handle,done with finest handle,4,72,4,,,accurate,
LE01,her owners arm the phone,her owners armed the phone,5,73,5,,,accurate,
LE01,define respect instead,define respect instead,3,74,3,,,accurate,
LE01,mode campaign for budget,mood campaign for budget,3,75,4,,,inaccurate,
LE01,increase a grade sedate,increase a grade sedate,4,76,4,,,accurate,
LE01,advance but sat appeal,advance besat appeal,2,77,4,,,inaccurate,
LE01,darker painted baskets,darker painted baskets,3,78,3,,,accurate,
LE01,vital seats with wonder,final seats with wonder,3,79,4,,,inaccurate,
LE01,cool the jar in private,cooled the jar in private,5,80,5,,,accurate,
LE01,model sad and local,mile sad and local,3,81,4,,,inaccurate,
LE01,hold a page of fortune,hold a page of fortune,5,82,5,,,accurate,
LE01,afraid beneath demand,afraid beneath demand,3,83,3,,,accurate,
LE01,mate denotes a judgement,mate denotes judgement,3,84,4,,,inaccurate,
LE01,measure fame with legal,measure fame with legal,4,85,4,,,accurate,
LE02,attack became concerned,a dad became concerned,2,6,3,a dad became concerned,2,inaccurate,inaccurate
LE02,avoid or beat command,void or me command,2,7,4,void or me command,2,inaccurate,inaccurate
LE02,pain can follow agents,pain can follow agents,4,8,4,pain can follow agents,4,accurate,accurate
LE02,define respect instead,define respect instead,3,9,3,define respect instead,3,accurate,accurate
LE02,for coke a great defeat,fur coat great defeat,2,10,5,fur coat great defeat,2,inaccurate,inaccurate
LE02,had eaten junk and train,eaten junk and train,4,11,5,eaten junk and train,4,inaccurate,inaccurate
LE02,support with dock and cheer,support with dock and cheer,5,12,5,support with dock and cheer,5,accurate,accurate
LE02,or spent sincere aside,poor spent sincere aside,3,13,4,poor spent sincere aside,3,inaccurate,inaccurate
LE02,vital seats with wonder,vital seats with wonder,4,14,4,vital seats with wonder,4,accurate,accurate
LE02,darker painted baskets,darker painted baskets,3,15,3,darker painted baskets,3,accurate,accurate
LE02,appear to wait then turn,appear to wait then turn,5,16,5,appear to wait then turn,5,accurate,accurate
LE02,beside a sunken bat,beside a sunken bat,4,17,4,beside a sunken bat,4,accurate,accurate
LE02,forget the joke below,forget the joke below,4,18,4,forget the joke below,4,accurate,accurate
LE02,thinking for the hearing,thinking for the hearing,4,19,4,thinking for the hearing,4,accurate,accurate
LE02,rampant boasting captain,ram pin menacing captain,1,20,3,rampant menacing captain,2,inaccurate,inaccurate
LE02,pick a chain for action,pick a chain for action,5,21,5,pick a chain for action,5,accurate,accurate
LE02,its harmful note abounds,its harmful note abounds,4,22,4,its harmful note abounds,4,accurate,accurate
LE02,model sad and local,model sad and local,4,23,4,models sad and local,4,accurate,accurate
LE02,bolder ground from justice,bolder ground from justice,4,24,4,bolder ground from justice,4,accurate,accurate
LE02,seat for locking runners,see for logging runners,2,25,4,see for logging runners,2,inaccurate,inaccurate
LE02,amend estate approach,amanda stayed approach,1,26,3,amanda state approach,1,inaccurate,inaccurate
LE02,afraid beneath demand,afraid beneath demand,3,27,3,afraid beneath demand,3,accurate,accurate
LE02,balance clamp and bottle,balance clamp and bottle,4,28,4,balance clamp and bottle,4,accurate,accurate
LE02,perceive sustained supplies,percieve sustain supplies,3,29,3,perceive sustained supplies,3,accurate,accurate
LE02,unseen machines agree,unseen machines agree,3,30,3,unseen machines agree,3,accurate,accurate
LE02,attend the trend success,attend the trend success,4,31,4,attend the trend success,4,accurate,accurate
LE02,mark a single ladder,mark a single ladder,4,32,4,mark a single ladder,4,accurate,accurate
LE02,transcend almost betrayed,transcend almost betrayed,3,33,3,transcend almost betrayed,3,accurate,accurate
LE02,indeed a tax ascent,indeed attacks ascend,1,34,4,indeed attacks ascend,1,inaccurate,inaccurate
LE02,career despite research,career despite research,3,35,3,career despite research,3,accurate,accurate
LE02,divide across retreat,divide across retreat,3,36,3,divide across retreat,3,accurate,accurate
LE02,resting older earring,rusty older earring,2,37,3,rusty older earring,2,inaccurate,inaccurate
LE02,technique but sent result,technique but sent result,4,38,4,technique but sent result,4,accurate,accurate
LE02,connect the beer device,connect the beer device,4,39,4,connect the beer device,4,accurate,accurate
LE02,hold a page of fortune,old page of fortune,3,40,5,hold page of fortune,4,inaccurate,inaccurate
LE02,rowing farther matters,growing father manners,0,41,3,growing farther manners,1,inaccurate,inaccurate
LE02,narrow seated member,narrow seen an member,2,42,3,narrow seen and member,2,inaccurate,inaccurate
LE02,unless escape can learn,unless escape can learn,4,43,4,unless escape can learn,4,accurate,accurate
LE02,increase a grade sedate,increase a grade cindy,3,44,4,increase a grade cindy,3,inaccurate,inaccurate
LE02,target keeping season,target keeping season,3,45,3,target keeping season,3,accurate,accurate
LE02,address her meeting time,address her meeting time,4,46,4,address her meeting time,4,accurate,accurate
LE02,bush is chosen after,merces chosen after,2,47,4,merce is chosen after,3,inaccurate,inaccurate
LE02,distant leaking basement,distant leaking basement,3,48,3,distant leaking basement,3,accurate,accurate
LE02,and spoke behind her sin,and spoke behind her sin,5,49,5,and spoke behind her sin,5,accurate,accurate
LE02,submit his cash report,submit his cash report,4,50,4,submit his cash report,4,accurate,accurate
LE02,done with finest handle,done with finest handle,4,51,4,done with finest handle,4,accurate,accurate
LE02,frame her seed to answer,frame her seed to answer,5,52,5,frame her seed to answer,5,accurate,accurate
LE02,admit the gear beyond,admit the gear beyond,4,53,4,admit the gear beyond,4,accurate,accurate
LE02,constant willing walker,constant willing walker,3,54,3,constant willing walker,3,accurate,accurate
LE02,sparkle enter broken,sparkle enter broken,3,55,3,sparkle enter broken,3,accurate,accurate
LE02,cheap control in paper,cheap control in paper,4,56,4,cheap control in paper,4,accurate,accurate
LE02,remove and name for stake,remove a name for snake,3,57,5,remove a name for snake,3,inaccurate,inaccurate
LE02,functions aim his acid,functions aim his acid,4,58,4,functions aim his acid,4,accurate,accurate
LE02,pooling pill or cattle,pulling pill or cattle,3,59,4,pulling pill or cattle,3,inaccurate,inaccurate
LE02,signal breakfast pilot,single breakfast pilot,2,60,3,single breakfast pilot,2,inaccurate,inaccurate
LE02,kick a tad above them,kick a ten above them,4,61,5,kick a ten above them,4,inaccurate,inaccurate
LE02,rode the lamp for teasing,rode the lamp for teasing,5,62,5,rode the lamp for teasing,5,accurate,accurate
LE02,mode campaign for budget,mowed campaign for budget,3,63,4,mode campaign for budget,4,inaccurate,accurate
LE02,listen final station,listen final station,3,64,3,listen final station,3,accurate,accurate
LE02,rocking modern poster,rocking modern poster,3,65,3,rocking modern poster,3,accurate,accurate
LE02,secure but lease apart,secure but lease apart,4,66,4,secure but lease apart,4,accurate,accurate
LE02,round and bad for carpet,round and bad for carpet,5,67,5,round and bad for carpet,5,accurate,accurate
LE02,her owners arm the phone,her owners are on the phone,4,68,5,her owners are on the phone,4,inaccurate,inaccurate
LE02,assume to catch control,assume to catch control,4,69,4,assume to catch control,4,accurate,accurate
LE02,mistake delight for heat,mistake delight for heat,4,70,4,mistake delight for heat,4,accurate,accurate
LE02,confused but roared again,confused but roared again,4,71,4,confuse but roared again,4,accurate,accurate
LE02,sinking rather tundra,sinking rather tundra,3,72,3,sinking rather tundra,3,accurate,accurate
LE02,mate denotes a judgement,needing notes a judgement,2,73,4,made in notes a judgement,2,inaccurate,inaccurate
LE02,award his drain away,award his reign away,3,74,4,award his reign away,3,inaccurate,inaccurate
LE02,account for who could knock,account for who could knock,5,75,5,account for who could knock,5,accurate,accurate
LE02,cool the jar in private,cool the jar in private,5,76,5,cool the jar in private,5,accurate,accurate
LE02,may the same pursued it,may the same pursuit it,4,77,5,may the same pursuit it,4,inaccurate,inaccurate
LE02,embark or take her sheet,embark or take her sheet,5,78,5,embark or take her sheet,5,accurate,accurate
LE02,stable wrist and load it,stable wrist and loaded,4,79,5,stable wrist and loaded,4,inaccurate,inaccurate
LE02,measure fame with legal,measure fame with legal,4,80,4,measure fame with legal,4,accurate,accurate
LE02,butcher in the middle,butter in the middle,3,81,4,butter in the middle,3,inaccurate,inaccurate
LE02,to sort but fear inside,to sort but fear inside,5,82,5,to sort but fear inside,5,accurate,accurate
LE02,push her equal culture,push her equal culture,4,83,4,push her equal culture,4,accurate,accurate
LE02,commit such used advice,commit such use advice,4,84,4,commit such use advice,4,accurate,accurate
LE02,advance but sat appeal,advance but sat appeal,4,85,4,advance but sat appeal,4,accurate,accurate
LE04,attack became concerned,attack became concern,3,6,3,,,accurate,
LE04,avoid or beat command,void or meet command,2,7,4,,,inaccurate,
LE04,pain can follow agents,pain can follow agents,4,8,4,,,accurate,
LE04,define respect instead,define respect instead,3,9,3,,,accurate,
LE04,for coke a great defeat,fair coat greet defeat,1,10,5,,,inaccurate,
LE04,had eaten junk and train,had eaten junk and train,5,11,5,,,accurate,
LE04,support with dock and cheer,support with dock and cheer,5,12,5,,,accurate,
LE04,or spent sincere aside,missing data,0,13,4,,,,
LE04,vital seats with wonder,vital seats with wonder,4,14,4,,,accurate,
LE04,darker painted baskets,darker painted baskets,3,15,3,,,accurate,
LE04,appear to wait then turn,appear to wait then turn,5,16,5,,,accurate,
LE04,beside a sunken bat,beside a sunken bat,4,17,4,,,accurate,
LE04,forget the joke below,forget the joke below,4,18,4,,,accurate,
LE04,thinking for the hearing,thinking for the hearing,4,19,4,,,accurate,
LE04,rampant boasting captain,rampant mousing captain,2,20,3,,,inaccurate,
LE04,pick a chain for action,pick a chain for action,5,21,5,,,accurate,
LE04,its harmful note abounds,its harmful note abounds,4,22,4,,,accurate,
LE04,model sad and local,missing data,0,23,4,,,,
LE04,bolder ground from justice,bolder ground from justice,4,24,4,,,accurate,
LE04,seat for locking runners,safer logging runners,1,25,4,,,inaccurate,
LE04,amend estate approach,amanda stayed approach,1,26,3,,,inaccurate,
LE04,afraid beneath demand,afraid beneath demand,3,27,3,,,accurate,
LE04,balance clamp and bottle,balance clamp and bottle,4,28,4,,,accurate,
LE04,perceive sustained supplies,perceive sustained supplies,3,29,3,,,accurate,
LE04,unseen machines agree,unseen machines agree,3,30,3,,,accurate,
LE04,attend the trend success,attend the trend success,4,31,4,,,accurate,
LE04,mark a single ladder,mark a single ladder,4,32,4,,,accurate,
LE04,transcend almost betrayed,transcend almost betrayed,3,33,3,,,accurate,
LE04,indeed a tax ascent,indeed attacks ascend,1,34,4,,,inaccurate,
LE04,career despite research,career despite research,3,35,3,,,accurate,
LE04,divide across retreat,divide across retreat,3,36,3,,,accurate,
LE04,resting older earring,resting older earring,3,37,3,,,accurate,
LE04,technique but sent result,technique but sent result,4,38,4,,,accurate,
LE04,connect the beer device,connect the beer device,4,39,4,,,accurate,
LE04,hold a page of fortune,hold the page of fortune,5,40,5,,,accurate,
LE04,rowing farther matters,rowing farther matters,3,41,3,,,accurate,
LE04,narrow seated member,narrow seated member,3,42,3,,,accurate,
LE04,unless escape can learn,unless escape can learn,4,43,4,,,accurate,
LE04,increase a grade sedate,x,0,44,4,,,inaccurate,
LE04,target keeping season,target keeping season,3,45,3,,,accurate,
LE04,address her meeting time,address her meeting time,4,46,4,,,accurate,
LE04,bush is chosen after,bushes chosen after,3,47,4,,,inaccurate,
LE04,distant leaking basement,distant leaking basement,3,48,3,,,accurate,
LE04,and spoke behind her sin,and spoke behind her sin,5,49,5,,,accurate,
LE04,submit his cash report,submit his cash report,4,50,4,,,accurate,
LE04,done with finest handle,done with finest handle,4,51,4,,,accurate,
LE04,frame her seed to answer,frame her seat to answer,4,52,5,,,inaccurate,
LE04,admit the gear beyond,admit the gear beyond,4,53,4,,,accurate,
LE04,constant willing walker,constant willing walker,3,54,3,,,accurate,
LE04,sparkle enter broken,sparkle enter broken,3,55,3,,,accurate,
LE04,cheap control in paper,cheap control in paper,4,56,4,,,accurate,
LE04,remove and name for stake,remove a name for snake,3,57,5,,,inaccurate,
LE04,functions aim his acid,functions aim has acid,3,58,4,,,inaccurate,
LE04,pooling pill or cattle,cooling pale or cattle,2,59,4,,,inaccurate,
LE04,signal breakfast pilot,single breakfast pilot,2,60,3,,,inaccurate,
LE04,kick a tad above them,kick a tent above them,4,61,5,,,inaccurate,
LE04,rode the lamp for teasing,read the lamp for teasing,4,62,5,,,inaccurate,
LE04,mode campaign for budget,mote campaign for budget,3,63,4,,,inaccurate,
LE04,listen final station,listen file station,2,64,3,,,inaccurate,
LE04,rocking modern poster,rocking modern poster,3,65,3,,,accurate,
LE04,secure but lease apart,secure but lease apart,4,66,4,,,accurate,
LE04,round and bad for carpet,round and bad for carpet,5,67,5,,,accurate,
LE04,her owners arm the phone,her owners arm the phone,5,68,5,,,accurate,
LE04,assume to catch control,assume to catch control,4,69,4,,,accurate,
LE04,mistake delight for heat,mistake delight for heat,4,70,4,,,accurate,
LE04,confused but roared again,confuse but roared again,4,71,4,,,accurate,
LE04,sinking rather tundra,sinking rather tundra,3,72,3,,,accurate,
LE04,mate denotes a judgement,made denotes a judgement,3,73,4,,,inaccurate,
LE04,award his drain away,award his drain away,4,74,4,,,accurate,
LE04,account for who could knock,account for who could knock,5,75,5,,,accurate,
LE04,cool the jar in private,cool the jar in private,5,76,5,,,accurate,
LE04,may the same pursued it,may the same pursuited,3,77,5,,,inaccurate,
LE04,embark or take her sheet,embark or take her sheet,5,78,5,,,accurate,
LE04,stable wrist and load it,staple wrist and loaded,3,79,5,,,inaccurate,
LE04,measure fame with legal,measure fame with legal,4,80,4,,,accurate,
LE04,butcher in the middle,butcher in the middle,4,81,4,,,accurate,
LE04,to sort but fear inside,to sort but fear inside,5,82,5,,,accurate,
LE04,push her equal culture,push her equal culture,4,83,4,,,accurate,
LE04,commit such used advice,commit such use advice,4,84,4,,,accurate,
LE04,advance but sat appeal,advance but set appeal,3,85,4,,,inaccurate,
LE05,attack became concerned,a tag became concerned,2,6,3,a tag became concerned,2,inaccurate,inaccurate
LE05,avoid or beat command,avoid or make command,3,7,4,avoid or make command,3,inaccurate,inaccurate
LE05,pain can follow agents,pain can follow agents,4,8,4,pain can follow agents,4,accurate,accurate
LE05,define respect instead,define respect instead,3,9,3,define respect instead,3,accurate,accurate
LE05,for coke a great defeat,for coat great defeat,3,10,5,for coke great defeat,4,inaccurate,inaccurate
LE05,had eaten junk and train,had eaten junk in train,4,11,5,had eaten junk and train,5,inaccurate,accurate
LE05,support with dock and cheer,support with dock and cheer,5,12,5,support with dock and cheer,5,accurate,accurate
LE05,or spent sincere aside,horse pin sincere aside,2,13,4,horse pin sincere aside,2,inaccurate,inaccurate
LE05,vital seats with wonder,vital seats with wonder,4,14,4,vital seats with wonder,4,accurate,accurate
LE05,darker painted baskets,darker painted baskets,3,15,3,darker painted baskets,3,accurate,accurate
LE05,appear to wait then turn,appear to wait then turn,5,16,5,appear to wait then turn,5,accurate,accurate
LE05,beside a sunken bat,beside a sunken bat,4,17,4,beside a sunken bat,4,accurate,accurate
LE05,forget the joke below,forget the joke below,4,18,4,forget the joke below,4,accurate,accurate
LE05,thinking for the hearing,thinking for the hearing,4,19,4,thinking for the hearing,4,accurate,accurate
LE05,rampant boasting captain,rampant boasting captain,3,20,3,rampit boasting captain,2,accurate,inaccurate
LE05,pick a chain for action,pick a chain for action,5,21,5,pick a chain for action,5,accurate,accurate
LE05,its harmful note abounds,its harmful note abounds,4,22,4,its harmful note abounds,4,accurate,accurate
LE05,model sad and local,model sad and local,4,23,4,model sad and local,4,accurate,accurate
LE05,bolder ground from justice,bolder ground from justice,4,24,4,bolder ground from justice,4,accurate,accurate
LE05,seat for locking runners,see for locking runners,3,25,4,see for locking runners,3,inaccurate,inaccurate
LE05,amend estate approach,in the state approach,1,26,3,im in the state approach,1,inaccurate,inaccurate
LE05,afraid beneath demand,afraid beneath demand,3,27,3,afraid beneath demand,3,accurate,accurate
LE05,balance clamp and bottle,balance clamp and bottle,4,28,4,balance clamp and bottle,4,accurate,accurate
LE05,perceive sustained supplies,perceive sustain supplies,3,29,3,perceive sustain supplies,3,accurate,accurate
LE05,unseen machines agree,unseen machines agree,3,30,3,unseen machines agree,3,accurate,accurate
LE05,attend the trend success,attend the trend success,4,31,4,attend the trend success,4,accurate,accurate
LE05,mark a single ladder,mark a single ladder,4,32,4,mark a single ladder,4,accurate,accurate
LE05,transcend almost betrayed,transcend almost betrayed,3,33,3,transcend almost betrayed,3,accurate,accurate
LE05,indeed a tax ascent,indeed attacks a sin,2,34,4,indeed a tax a sin,3,inaccurate,inaccurate
LE05,career despite research,career despite research,3,35,3,career despite research,3,accurate,accurate
LE05,divide across retreat,divide across retreat,3,36,3,divide across retreat,3,accurate,accurate
LE05,resting older earring,rusting older earring,2,37,3,rusting older earring,2,inaccurate,inaccurate
LE05,technique but sent result,technique but sent result,4,38,4,technique but sent result,4,accurate,accurate
LE05,connect the beer device,connect the beer device,4,39,4,connect the vo device,3,accurate,inaccurate
LE05,hold a page of fortune,hold page a fortune,4,40,5,hold cage a fortune,3,inaccurate,inaccurate
LE05,rowing farther matters,rowing farther matters,3,41,3,rowing farther matters,3,accurate,accurate
LE05,narrow seated member,narrow seated member,3,42,3,narrow seated member,3,accurate,accurate
LE05,unless escape can learn,unless escape can learn,4,43,4,unless escape can learn,4,accurate,accurate
LE05,increase a grade sedate,increase a grade sunday,3,44,4,increase a grade sunday,3,inaccurate,inaccurate
LE05,target keeping season,target keeping season,3,45,3,target keeping season,3,accurate,accurate
LE05,address her meeting time,address her meeting time,4,46,4,address her meeting time,4,accurate,accurate
LE05,bush is chosen after,bushes chosen after,3,47,4,bushes chosen after,3,inaccurate,inaccurate
LE05,distant leaking basement,distant leaking basement,3,48,3,distant leaking basement,3,accurate,accurate
LE05,and spoke behind her sin,and spoke behind her sin,5,49,5,and spoke behind her sin,5,accurate,accurate
LE05,submit his cash report,submit his cash report,4,50,4,submit his cash report,4,accurate,accurate
LE05,done with finest handle,done with finest handle,4,51,4,done with finest handle,4,accurate,accurate
LE05,frame her seed to answer,frame her seat to answer,4,52,5,frame her seat to answer,4,inaccurate,inaccurate
LE05,admit the gear beyond,admit the gear beyond,4,53,4,admit the gear beyond,4,accurate,accurate
LE05,constant willing walker,constant willing walker,3,54,3,constant willing walker,3,accurate,accurate
LE05,sparkle enter broken,sparkle enter broken,3,55,3,sparkle enter broken,3,accurate,accurate
LE05,cheap control in paper,cheap control in paper,4,56,4,cheap control in paper,4,accurate,accurate
LE05,remove and name for stake,remove a name for snake,3,57,5,remove a name for snake,3,inaccurate,inaccurate
LE05,functions aim his acid,functions aim his acid,4,58,4,functions aim his acid,4,accurate,accurate
LE05,pooling pill or cattle,pooling pill or cattle,4,59,4,pulling pill or cattle,3,accurate,inaccurate
LE05,signal breakfast pilot,single breakfast pilot,2,60,3,single breakfast pilot,2,inaccurate,inaccurate
LE05,kick a tad above them,kick in ten among him,1,61,5,kick and tend among them,2,inaccurate,inaccurate
LE05,rode the lamp for teasing,rode the lamp for teasing,5,62,5,rode the lamp for teasing,5,accurate,accurate
LE05,mode campaign for budget,mode campaign for budget,4,63,4,mode campaign for budget,4,accurate,accurate
LE05,listen final station,listen final station,3,64,3,listen final station,3,accurate,accurate
LE05,rocking modern poster,rocking modern poster,3,65,3,rocking modern poster,3,accurate,accurate
LE05,secure but lease apart,secure but lease apart,4,66,4,secure but lease apart,4,accurate,accurate
LE05,round and bad for carpet,round and bad for carpet,5,67,5,round and bad for carpet,5,accurate,accurate
LE05,her owners arm the phone,her owners arm the phone,5,68,5,her owners arm the phone,5,accurate,accurate
LE05,assume to catch control,assume to catch control,4,69,4,assume to catch control,4,accurate,accurate
LE05,mistake delight for heat,mistake delight for heat,4,70,4,mistake delight for heat,4,accurate,accurate
LE05,confused but roared again,confuse but roar again,4,71,4,confuse but roar again,4,accurate,accurate
LE05,sinking rather tundra,sinking rather tundra,3,72,3,sinking rather tundra,3,accurate,accurate
LE05,mate denotes a judgement,may denotes a judgement,3,73,4,may denotes a judgment,3,inaccurate,inaccurate
LE05,award his drain away,award his rain away,3,74,4,award his reign away,3,inaccurate,inaccurate
LE05,account for who could knock,account for who could knock,5,75,5,account for who could knock,5,accurate,accurate
LE05,cool the jar in private,cool the jar in private,5,76,5,cool the jar in private,5,accurate,accurate
LE05,may the same pursued it,may the same pursuited,3,77,5,may the same persuited,3,inaccurate,inaccurate
LE05,embark or take her sheet,embark or take her sheet,5,78,5,embark or take her sheet,5,accurate,accurate
LE05,stable wrist and load it,stable wrist and loaded,4,79,5,stable wrist and loaded,4,inaccurate,inaccurate
LE05,measure fame with legal,measure fame with legal,4,80,4,measure fame with legal,4,accurate,accurate
LE05,butcher in the middle,butcher in the middle,4,81,4,butcher in the middle,4,accurate,accurate
LE05,to sort but fear inside,to sort but fear inside,5,82,5,to sort but fear inside,5,accurate,accurate
LE05,push her equal culture,push her equal culture,4,83,4,push her equal culture,4,accurate,accurate
LE05,commit such used advice,commit such use advice,4,84,4,commit such use advice,4,accurate,accurate
LE05,advance but sat appeal,advance but sat appeal,4,85,4,advance but sat appeal,4,accurate,accurate
LE06,connect the beer device,connect the pier device,3,6,4,,,inaccurate,
LE06,award his drain away,award his drain away,4,7,4,,,accurate,
LE06,mistake delight for heat,mistake the light for heat,3,8,4,,,inaccurate,
LE06,rowing farther matters,rowing farther matters,3,9,3,,,accurate,
LE06,indeed a tax ascent,indeed attacks ascent,2,10,4,,,inaccurate,
LE06,or spent sincere aside,or spent sincere aside,4,11,4,,,accurate,
LE06,submit his cash report,submit his cash report,4,12,4,,,accurate,
LE06,assume to catch control,assume to catch control,4,13,4,,,accurate,
LE06,butcher in the middle,butcher in the middle,4,14,4,,,accurate,
LE06,avoid or beat command,avoid or beat command,4,15,4,,,accurate,
LE06,admit the gear beyond,admit the gear beyond,4,16,4,,,accurate,
LE06,may the same pursued it,may the same pursuit,3,17,5,,,inaccurate,
LE06,rampant boasting captain,rampant boasting captain,3,18,3,,,accurate,
LE06,for coke a great defeat,for coke a great defeat,5,19,5,,,accurate,
LE06,technique but sent result,technique but sent resolve,3,20,4,,,inaccurate,
LE06,unseen machines agree,unseen machines agree,3,21,3,,,accurate,
LE06,career despite research,career despite research,3,22,3,,,accurate,
LE06,constant willing walker,constant willing walker,3,23,3,,,accurate,
LE06,push her equal culture,push her equal culture,4,24,4,,,accurate,
LE06,signal breakfast pilot,signal breakfast pilot,3,25,3,,,accurate,
LE06,confused but roared again,confused but roared again,4,26,4,,,accurate,
LE06,its harmful note abounds,its harmful note of bounds,3,27,4,,,inaccurate,
LE06,remove and name for stake,remove a name for steak,4,28,5,,,inaccurate,
LE06,narrow seated member,neuro seated member,2,29,3,,,inaccurate,
LE06,appear to wait then turn,appear to wait then turn,5,30,5,,,accurate,
LE06,bolder ground from justice,bolder grand from justice,3,31,4,,,inaccurate,
LE06,target keeping season,target keeps season,2,32,3,,,inaccurate,
LE06,seat for locking runners,seat for locking runners,4,33,4,,,accurate,
LE06,functions aim his acid,functions aim his acid,4,34,4,,,accurate,
LE06,to sort but fear inside,to sort but fear inside,5,35,5,,,accurate,
LE06,rocking modern poster,rocking modern poster,3,36,3,,,accurate,
LE06,distant leaking basement,distant leaking basement,3,37,3,,,accurate,
LE06,kick a tad above them,kick a tad above them,5,38,5,,,accurate,
LE06,embark or take her sheet,embark or take her sheet,5,39,5,,,accurate,
LE06,address her meeting time,address her meeting time,4,40,4,,,accurate,
LE06,support with dock and cheer,support with dock and cheer,5,41,5,,,accurate,
